Element;Is in Variant

WebAnnotationFeatures

Views;true
SpreadsheetView;true
MoodleView;false
WebTools;true
DOI;true
Dropbox;true
ACM;true
Configuration;true
Spreadsheet;true
Moodle;false
DefaultCriterias;false
Sidebar;true
Tag;true
Index;true
New;false
UserFilter;true
Toolset;true
Canvas;false
Generator;false
Screenshots;false
Report;false
BackLink;false
BackToMoodle;false
BackToSpreadsheet;false
AnnotationTools;true
AllDeleter;true
Last;false
TagGroup;true
Selector;true
HypothesisGroupSelector;true
AutomaticSelection;false
GroupSelector;true
StaticGroupSelector;false
ModeSelector;true
HighlightMode;true
IndexMode;true
ReviewMode;false
MarkingMode;false
EvidencingMode;false
Hypothesis;true
PDF;true
Roles;true
Reviewer;true
Teacher;false
Student;false
Annotations;true
Deleter;true
Classificator;true
Marks;false
Validations;true
Strengths;false
Comments;false
Replys;false
Citations;false
